Operon,Length (nt),ID,Bin #,Lifetime,Lifetime_err,Elongation Rate (nt/s),Elongation Rate err,Synthesis time,SynT/LT
rlmL-uup,4028,448,0,1.46767,0.0563237,20.8309,0.832486,3.22277642,2.195845401
ycbZ,1761,453,0,1.44122,0.0580042,9.73396,0.524303,3.015216829,2.092128078
lolA-rarA,1969,423,0,1.79621,0.0933091,8.79827,0.492935,3.729899931,2.076538896
rppH-ptsP,2790,1344,0,1.01152,0.0377718,22.4183,0.825525,2.074198311,2.050575679
proVWX,3310,1291,0,1.57179,0.0444567,17.3749,0.588724,3.175078226,2.020039716
mgtA,2891,1972,0,1.04335,0.0401742,24.1818,0.603756,1.992545358,1.909757376
lolCDE,3138,524,0,1.18465,0.075206,23.182,1.42018,2.256060737,1.904411207
mntR-ybiR,1583,385,0,1.36067,0.0753818,10.2036,0.641731,2.585688711,1.900305519
yifL-dapF-yigA-xerC-yigB,3378,1765,0,1.47947,0.0461146,20.1037,0.535053,2.800479514,1.892893748
ygfB-pepP-ubiH-visC,4330,1395,0,1.71767,0.0541034,22.4252,0.786961,3.218105821,1.873529736
rpoBC,8329,1849,0,3.92475,0.120851,19.0633,0.197529,7.281880192,1.855374277
yajR,1365,194,0,1.14128,0.0705262,10.7579,1.06389,2.114724993,1.852941428
yafDE,1428,89,0,1.96478,0.110635,6.57447,1.24994,3.620063671,1.842477871
cyaA,2547,1764,0,0.923194,0.0358969,25.2205,0.7008,1.683154577,1.823186217
mrcA,2553,1586,0,1.00687,0.0787956,23.4103,0.740285,1.817576024,1.805174476
relA-mazEF,2896,1325,0,1.63265,0.0498575,16.6235,0.524977,2.903520117,1.778409406
ppk-ppx,3613,1206,0,2.27054,0.117072,15.0254,0.494954,4.007658143,1.765068285
topA,2598,606,0,2.1192,0.044757,11.7232,0.443076,3.693530777,1.742889192
cvrA,1737,562,0,1.40582,0.127554,11.9873,0.652248,2.415055934,1.717898404
bamB-der,2769,1211,0,1.93476,0.0479804,14.0654,0.351469,3.281101142,1.695869845
yncD,2103,701,0,1.66524,0.0611107,12.5622,0.462179,2.790116381,1.67550406
ushA,1653,229,0,2.94172,0.267525,5.59934,0.464435,4.920222741,1.672566641
yheSTU,3148,1575,0,1.60331,0.0843988,19.7698,0.589248,2.653879486,1.65525038
ybaL,1677,227,0,1.3113,0.0981128,13.0156,1.65149,2.147423092,1.637629141
thiI,1449,192,0,1.7316,0.0594507,8.61004,0.761902,2.804865018,1.619811168
clcA,1422,62,0,1.27011,0.109906,11.6448,4.79878,2.035243199,1.602414908
flgK,2609,510,0,3.9149,1.28951,7.01856,0.381729,6.195477895,1.582537969
ybjL,1686,404,0,1.88351,0.179917,9.4846,0.598029,2.962697425,1.572966125
murJ,1536,508,0,1.15436,0.0838601,14.1259,0.807425,1.812273908,1.569938241
parC,2259,1446,0,1.15981,0.0767105,21.2118,0.647557,1.774955449,1.530384674
hemCDXY,4081,1763,0,2.07662,0.0669915,21.8598,0.607312,3.111495378,1.498346052
oppABCDF,5587,594,0,4.85562,0.228538,13.0693,0.51101,7.124839637,1.467338803
mlaFEDCB,3103,1533,0,2.23649,0.0519161,15.7666,0.372603,3.280140719,1.466646718
yrfF,2136,1588,0,1.01796,0.0788059,24.5197,0.727589,1.451893783,1.426277833
metH,3684,1863,0,2.05931,0.0534595,21.3013,0.547683,2.882453184,1.399717956
uvrB,2022,365,0,3.69821,0.460297,6.57425,0.424448,5.126060007,1.386092192
ftsK,3990,422,0,1.71769,0.0793155,28.0273,1.6755,2.372686631,1.381324122
hepA,2907,21,0,1.90688,0.0572157,18.5008,1.47609,2.618805673,1.373345818
asnB,1665,319,0,2.77985,0.222619,7.31169,0.504623,3.795292196,1.365286687
proBA,2369,113,0,1.43161,0.0526684,20.7168,2.86793,1.905860622,1.331270822
betT,2034,143,0,1.91762,0.160931,13.3798,3.39797,2.533670159,1.321257684
dadAX,2379,561,0,2.32829,0.103556,12.8953,0.758536,3.074763674,1.320610265
adhE,2676,592,0,3.20312,0.133276,10.6173,0.580604,4.200691325,1.311437387
purEK,1574,245,0,2.73532,0.167255,7.31704,0.623009,3.585238475,1.310719943
sppA,1857,866,0,1.46448,0.102053,16.1961,0.658748,1.910953872,1.304868535
mdoGH,4072,493,0,2.41315,0.0781726,22.2159,1.17474,3.05486911,1.26592591
pepN,2613,444,0,2.80424,0.0976653,12.3929,0.969522,3.514108885,1.253141274
prlC-yhiQ,2803,1633,0,1.78189,0.0840403,21.1817,0.632051,2.205520174,1.237742046
gmr,1986,613,0,2.37232,0.105055,11.3207,0.5502,2.923847465,1.232484431
argCBH,3223,1840,0,2.07342,0.0429691,21.4389,0.498412,2.505570093,1.208423808
ydcP,1962,690,0,2.3231,0.129142,11.654,0.520768,2.805903552,1.207827279
ybgC-tolQRA,2856,343,0,1.39495,0.0448516,28.3301,2.07862,1.68019174,1.204481694
rnb,1935,614,0,1.50466,0.0442523,18.5488,1.18267,1.738656948,1.155514833
glnS,1665,323,0,2.7322,0.0639895,8.7973,0.573668,3.154376911,1.154519036
mdoB,2292,2028,0,1.16648,0.0673741,28.5522,0.72577,1.337900407,1.14695529
pabC-yceG-tmk-holB-ycfH,4275,514,0,5.34906,0.38714,11.851,0.533351,6.012150873,1.123964
ubiE-yigP-ubiB,3012,1780,0,1.91924,0.0586964,23.37,0.654,2.148053059,1.11922066
treBC,3127,1970,0,2.11771,0.0457078,22.2726,0.521924,2.339945344,1.104941349
bglX,2298,1045,0,2.3029,0.109179,15.0844,0.554775,2.539046962,1.102543299
putA,3963,480,0,3.02903,0.200345,20.2914,2.32726,3.255073578,1.074625731
ybiT,1593,387,0,2.54877,0.107817,9.85834,0.533248,2.69315118,1.056647394
dnaX,1932,222,0,2.0781,0.0846984,14.798,1.37166,2.175969726,1.047095773
ycaO,1761,432,0,3.27378,0.145428,8.59198,0.482469,3.415976294,1.043434896
yoaA,1911,893,0,1.97047,0.147522,15.6164,0.607023,2.039522553,1.035043697
yhfK,2103,1579,0,1.37454,0.0649334,24.6534,0.735286,1.421710596,1.034317369
pepQ-yigZ-trkH-hemG,3993,1784,0,2.89978,0.081502,22.2053,0.635488,2.99703224,1.033537799
frmRAB,2347,161,0,12.4683,1.47537,3.04517,0.328989,12.8454788,1.03025102
nhaB,1542,558,0,1.76911,0.0591578,14.1328,0.705734,1.818464848,1.027898123
pheP,1377,276,0,1.95948,0.0945179,11.526,0.804969,1.991150442,1.016162677
yejLM,2008,1083,0,1.8966,0.0426554,17.5058,0.590351,1.911747345,1.007986578
yihXY-dtd-yiiD,2886,1804,0,2.22726,0.152992,21.9669,0.605081,2.189658076,0.983117407
recQ,1830,1772,0,0.97118,0.0457789,32.1979,0.893474,0.947266747,0.975377116
gyrA,2628,1097,0,3.33964,0.132241,13.5481,0.436491,3.23292565,0.968046152
nudF-yqiB-cpdA-yqiA-parE,4407,1454,0,4.12081,0.334039,18.7141,0.520583,3.924848109,0.952445784
pldB-yigL,1831,1775,0,1.01307,0.0554126,31.647,0.872556,0.964283081,0.9518425
degP,1425,65,0,2.31541,0.138636,10.8286,4.24783,2.193265981,0.947247347
guaBA,3113,1210,0,3.16171,0.104396,17.3876,0.540743,2.983927243,0.943770062
rep,2022,1752,0,1.29887,0.132328,27.5186,0.766938,1.224626253,0.94283974
hinT-ycfL-lpoB-thiK-nagZ-ycfP,3801,517,0,7.58775,0.433633,8.88289,0.42415,7.131687998,0.939894962
mppA,1614,630,0,2.01566,0.142348,14.2542,0.661813,1.887163082,0.936250698
pabB-nudL,1944,897,0,2.31136,0.185572,15.0581,0.581898,2.151665881,0.930909024
sdaCB,2715,1332,0,2.59704,0.0527878,18.723,0.560389,2.416813545,0.930603127
polA,2787,1789,0,2.25337,0.096434,22.1971,0.600058,2.092615702,0.928660496
alaS,2631,1300,0,2.58779,0.0378033,18.6512,0.55953,2.35105516,0.908518527
ansA-pncA,1669,867,0,1.69818,0.0791585,18.3025,0.738831,1.519828803,0.894975093
malZ,1818,186,0,4.51826,0.46762,7.83233,1.19783,3.868580614,0.85621027
ydiU,1437,840,0,1.11738,0.0563793,25.4613,1.02389,0.940643251,0.841829325
fadD-sroD,1730,892,0,2.02518,0.116448,16.9648,0.658582,1.699597598,0.839232857
yecN-cmoAB,2148,931,0,2.93331,0.171879,14.694,0.564931,2.436368586,0.830586807
tilS,1299,80,0,2.71776,0.31149,9.6185,2.2187,2.250870718,0.828208053
lptFG,2183,1984,0,1.60131,0.103233,28.9364,0.752001,1.257355211,0.785204121
nagE,1947,322,0,7.89873,0.943356,5.29109,0.339355,6.132951811,0.776447835
yojI,1644,1090,0,1.46321,0.10992,24.3355,0.863054,1.125927143,0.769491149
folP-glmM,2179,1524,0,2.0985,0.14312,22.9973,0.700116,1.579170888,0.752523654
mdoD,1656,681,0,2.48361,0.13601,14.7846,0.669595,1.866807354,0.751650764
yhgF,2322,1593,0,2.39141,0.0795046,21.6315,0.611745,1.789057624,0.748118317
emrRAB,3385,1294,0,4.57224,0.280223,16.5034,0.580146,3.418487504,0.747661432
yhbE-obgE,2154,1528,0,2.17027,0.0589045,22.6643,0.666621,1.583988916,0.729857998
plsB,2424,1876,0,2.21707,0.088319,25.159,0.66399,1.605787193,0.724283488
ydbK,3525,656,0,9.08989,0.820456,9.00314,0.444023,6.525501103,0.717885596
yfgCD,1844,1202,0,2.07629,0.159832,20.686,0.669865,1.485706919,0.715558481
znuCB,1538,927,0,1.59456,0.107152,22.4726,0.868144,1.140648315,0.715337344
gsk,1305,226,0,1.63207,0.0681964,18.6812,1.55732,1.164272102,0.713371426
cydAB,2724,342,0,7.52864,0.481393,8.58004,0.841698,5.291350623,0.702829545
tolC-ygiABC,3467,1455,0,2.96907,0.0592786,27.7082,1.01689,2.085423569,0.702382756
rimO,1326,394,0,1.22724,0.0291372,25.7669,1.48145,0.857689516,0.698876761
degQS,2525,1543,0,2.92553,0.237752,20.6203,0.60494,2.040869111,0.697606626
metG,2034,1037,0,3.06432,0.0820066,15.9857,0.567578,2.120645327,0.692044345
ygiQ,2220,1443,0,2.67322,0.0860789,20.0095,0.582289,1.849121667,0.691720722
yicH,1710,1708,0,1.28085,0.0963935,33.2855,0.940546,0.856228688,0.668484747
asmA,1854,1016,0,2.53922,0.0921096,18.5169,0.679513,1.668745848,0.657188368
yhdT-panF-prmA,2577,1555,0,3.24098,0.244976,20.1852,0.583224,2.127796603,0.656528767
ppiD,1872,201,0,2.71202,0.0523102,17.633,1.7591,1.76940963,0.652432368
rpsMKD-rpoA-rplQ,2856,1566,0,4.33734,0.0298138,16.911,0.306084,2.814735971,0.648954422
proS,1719,84,0,3.04898,0.0850197,14.7598,1.91682,1.941083213,0.636633632
rhlE,1365,369,0,2.00932,0.0779374,17.9619,1.1532,1.266569795,0.630347478
ppc,2652,1838,0,2.91874,0.0738341,24.1103,0.657557,1.833241395,0.628093422
kefA,3363,219,0,1.37945,0.0761137,64.8426,14.8936,0.864400872,0.626627186
argS,1734,935,0,2.6221,0.0914669,17.9212,0.683988,1.612615227,0.615009049
aspS,1773,929,0,2.87115,0.0720003,16.8677,0.627778,1.751868957,0.610162812
metBL,3596,1830,0,4.63665,0.508382,21.2625,0.582,2.818734078,0.607924704
miaB,1425,317,0,3.64967,0.130092,10.738,0.721313,2.21177128,0.606019525
rpoZ-spoT-trmH-recG,5186,1705,0,4.26699,0.0690133,33.7413,1.02829,2.56164799,0.600340753
brnQ-proY,2769,185,0,2.60335,0.11223,29.5286,4.90012,1.56289157,0.600338629
htpG,1875,224,0,2.11321,0.0737378,24.9066,4.33067,1.254687513,0.593735366
tolB-pal-ybgF,2650,344,0,2.69714,0.0680447,27.8328,4.32173,1.586856754,0.588347937
malEFG,3794,1872,0,5.32693,0.22417,20.8899,0.550176,3.026981141,0.568241209
rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ,5532,1567,0,5.25016,0.0331503,31.2848,0.207446,2.947118089,0.561338719
yobA-yebZY,1605,915,0,2.33382,0.0716471,20.5822,0.782988,1.299666702,0.556883865
nudC-hemE-nfi,2559,1854,0,3.21688,0.201318,24.2544,0.649085,1.758443829,0.546630222
kup,1869,1741,0,1.90788,0.108019,30.0364,0.830773,1.037075016,0.543574552
acnA,2676,609,0,10.3306,1.50492,8.16142,0.401267,5.464735303,0.528985277
dacB,1434,1527,0,1.00802,0.058104,46.3184,1.37184,0.515993644,0.5118883
murB-birA,1991,1845,0,2.20262,0.0788798,30.0282,0.815468,1.105072343,0.501708122
sbcB,1428,1003,0,1.50772,0.158049,31.8515,1.17342,0.747217556,0.495594379
gyrB,2415,1730,0,3.4086,0.0689075,23.9702,0.675608,1.679168301,0.492626973
efeOB,2405,483,0,4.02212,0.133802,20.3797,1.93397,1.966826466,0.489002433
yegH,1584,1015,0,2.3186,0.142746,23.5487,0.862226,1.121080994,0.483516343
lexA-dinF,2007,1878,0,2.30596,0.0496403,30.0388,0.808905,1.113559796,0.482905079
cysS,1386,247,0,4.18172,0.213823,11.5079,0.976719,2.007316713,0.480021788
aroF-tyrA,2203,1250,0,4.40176,0.313619,17.7776,0.575974,2.065333153,0.469206216
artPIQM,2869,410,0,2.13612,0.0614697,48.9691,7.7545,0.976466112,0.457121375
lysP,1470,1061,0,1.84356,0.0616229,29.5181,1.06488,0.829999221,0.450215464
rluD-yfiH,1709,1246,0,2.63915,0.0904524,24.404,0.806612,1.167158389,0.442247841
csdAE,1649,1338,0,2.18965,0.124647,28.5849,0.901892,0.961463337,0.43909453
upp-uraA,2002,1204,0,3.95506,0.100511,19.3886,0.65391,1.720942547,0.435124258
gpp,1485,1753,0,1.22875,0.0340838,46.934,1.3195,0.527336259,0.429164809
yaeQJ-nlpE,1689,82,0,3.00963,0.16913,21.8122,9.33835,1.290562162,0.428810904
ydgA,1509,790,0,2.92105,0.124505,20.1426,0.850068,1.2485975,0.427448178
yeiR-lpxT,1739,1073,0,3.48089,0.256029,19.7086,0.686759,1.47059321,0.422476209
pykF,1413,824,0,1.87291,0.0592323,30.0368,1.25371,0.784038246,0.418620354
eptA,1644,1909,0,1.61845,0.0244967,40.8532,1.05312,0.670694095,0.414405199
rne,3186,511,0,2.19071,0.0567807,58.8755,11.3359,0.901903169,0.411694459
rsmF,1440,911,0,2.16452,0.13084,26.9896,1.03903,0.889231408,0.410821525
tppB,1503,799,0,2.97901,0.124136,20.6039,0.8569,1.215789244,0.408118551
pepD,1458,108,0,8.59996,0.403133,6.94139,1.33911,3.500739765,0.407064657
dcp,2046,748,0,7.29434,1.28075,11.5294,0.493656,2.957656079,0.405472747
putP,1509,481,0,5.183,0.315344,12.3354,0.66882,2.038847544,0.39337209
manXYZ,2699,901,0,10.3421,2.11637,11.3753,0.442433,3.954474461,0.382366682
uvrD,2163,1766,0,3.75501,0.201007,25.8243,0.709086,1.395972011,0.371762528
frsA,1245,110,0,2.74464,0.24888,20.6333,2.7773,1.005655906,0.366407218
maeA,1698,718,0,5.48717,0.214419,14.2347,0.622855,1.988099503,0.362317826
maeB,2280,1191,0,6.32111,0.483803,16.7412,0.564032,2.269849234,0.359090292
pps,2379,836,0,9.86709,0.440144,11.3649,0.454718,3.488812044,0.353580645
holD-rimI-yjjG,1521,2034,0,1.4882,0.067976,49.1977,1.26195,0.51526799,0.346235714
pgi,1650,1869,0,1.99419,0.0456879,39.8648,1.06801,0.689831631,0.345920715
ndh,1305,518,0,1.63353,0.0464042,38.5454,1.96545,0.564269666,0.345429632
yijP,1734,1837,0,2.56998,0.0485103,33.7975,0.890639,0.855092832,0.332723536
mltD,1359,90,0,1.67403,0.0316768,40.7389,16.3953,0.555979666,0.332120491
secMA-mutT,3729,34,0,7.33191,0.663664,25.529,1.73407,2.434486271,0.332039846
rsmE-gshB,1695,1412,0,3.13293,0.19559,27.6255,0.847463,1.022605926,0.326405609
tldD,1446,1549,0,1.61906,0.174375,46.5864,1.44578,0.517318359,0.31951772
purMN,1676,1205,0,3.58719,0.21209,24.546,0.819835,1.137999402,0.31723979
proP,1503,1908,0,1.68799,0.0608801,47.3904,1.24035,0.528588068,0.313146445
puuA,1419,620,0,3.69075,0.31577,20.7464,0.970406,1.139956812,0.308868607
ompR-envZ,2069,1591,0,4.75521,0.182676,24.1266,0.6995,1.429266176,0.300568466
mqo,1647,1089,0,3.76292,0.0665648,24.3617,0.881201,1.126768657,0.299439971
ybhC,1284,361,0,1.9219,0.0534101,37.2471,2.44504,0.574541374,0.298944468
hslVU,1872,1824,0,3.35856,0.0852288,31.5782,0.863523,0.988023383,0.294180656
yhjJ,1497,1652,0,1.98474,0.102126,42.8953,1.22701,0.581648805,0.293060454
ydjN,1392,853,0,2.43489,0.142635,32.5398,1.30111,0.712973036,0.292815296
dnaB,1416,1885,0,1.28068,0.0582298,64.1678,1.72639,0.367785712,0.287180023
clpA,2277,416,0,19.7338,3.37765,6.75729,0.402255,5.616156773,0.284595809
puuDR,1349,621,0,2.32398,0.179828,34.2618,1.61036,0.656221603,0.282369729
def-fmt,1472,1563,0,2.03606,0.034716,43.1415,1.28279,0.56867131,0.279299878
ubiD,1494,1781,0,1.94188,0.0615858,46.3061,1.2656,0.537726131,0.276910072
ilvC,1476,1749,0,1.9351,0.0423775,46.1257,1.26899,0.53332524,0.275606036
eptB,1692,1663,0,3.11558,0.285482,33.3228,0.952358,0.846267421,0.271624359
gshA,1557,1297,0,3.24326,0.10267,30.8654,1.00273,0.840747244,0.259229061
cpdB,1944,1955,0,3.90413,0.29556,32.6077,0.858161,0.993630339,0.254507493
zwf,1476,921,0,3.96499,0.222701,25.185,0.984348,0.976771888,0.246349143
mdtK,1374,818,0,2.76013,0.335554,34.1533,1.3899,0.670506218,0.242925593
gltA,1284,338,0,2.66173,0.0482142,33.5228,2.13261,0.638371496,0.239833303
metE,2262,1776,0,6.43717,0.492999,24.905,0.68162,1.513752259,0.235158037
ftsP,1413,1444,0,1.96689,0.0754389,50.9301,1.57438,0.462398464,0.235091166
typA,1824,1796,0,4.07422,0.0934364,32.1077,0.861856,0.946813381,0.232391324
ptsG,1434,515,0,6.48773,0.451531,16.0522,0.828566,1.488892488,0.229493596
rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ,4957,1568,0,13.554,0.209311,27.8336,0.698992,2.968235035,0.218993289
tktA,1992,1405,0,6.58547,0.240877,23.3263,0.740354,1.423286162,0.216125221
tig,1299,198,0,3.77072,0.0691983,26.7784,3.25136,0.808487438,0.214411953
prfC,1590,2035,0,2.66994,0.0849037,46.7455,1.20356,0.566899488,0.212326677
ffh,1362,1252,0,1.856,0.0532741,57.9818,1.92156,0.391502161,0.210938664
pitA,1500,1629,0,2.87584,0.0994289,41.6468,1.19784,0.600286216,0.208734219
yjjK,1668,2040,0,3.39149,0.0806086,42.206,1.0858,0.658674122,0.194213789
yebA,1323,925,0,1.83756,0.0931441,62.6261,2.41968,0.352089624,0.191607144
yjbB,1632,1864,0,3.44426,0.334926,41.2658,1.11036,0.659141468,0.1913739
serS,1293,424,0,3.04144,0.0820789,37.3716,2.22124,0.576641086,0.18959476
gltX,1416,1168,0,3.05563,0.0809357,40.9599,1.42764,0.576173282,0.188561207
ansP,1500,703,0,7.40344,1.12556,17.9104,0.780726,1.395837056,0.188538984
dld,1716,1046,0,7.58793,0.800229,20.412,0.744231,1.401136586,0.184653336
asnS,1401,442,0,7.60736,0.240552,17.1059,0.977352,1.365026102,0.179434929
hemL,1281,61,0,11.3279,0.670214,10.721,4.91641,1.991418711,0.175797695
rseP,1353,75,0,2.46861,0.0893274,52.3126,41.0867,0.431062497,0.174617496
pssA,1356,1245,0,2.13016,0.0753495,61.0361,2.03038,0.370272675,0.173823879
fumA,1647,788,0,9.30631,0.716796,17.098,0.707961,1.60545093,0.172512084
sdaA,1365,898,0,3.31269,0.135142,40.0875,1.57628,0.567508575,0.171313517
gdhA,1344,864,0,2.55308,0.095194,51.6682,2.04597,0.433535521,0.169808827
gss,1860,1430,0,7.42081,0.883784,24.7772,0.758079,1.251150251,0.168600227
trkA,1377,1565,0,2.13053,0.10789,64.3382,1.94922,0.356708767,0.167427244
rfaE,1434,1466,0,3.19124,0.12295,44.9929,1.36464,0.531194922,0.166454081
yegQ,1362,1026,0,3.09441,0.169074,47.512,1.71908,0.477774036,0.154399073
rhoL-rho,1446,1756,0,3.126,0.0276684,50.8176,1.42886,0.474245143,0.151709899
amn,1455,983,0,6.12742,0.623078,27.1175,1.00581,0.894256476,0.145943395
bglA,1440,1393,0,4.11374,0.256908,41.2721,1.29726,0.581506635,0.141357168
pepA,1512,1983,0,3.65284,0.0854539,48.9511,1.27923,0.514799463,0.140931293
ycdXY,1316,489,0,4.70208,0.166135,34.4531,1.83419,0.636614219,0.135389916
accBC,1831,1554,0,8.34921,0.25973,28.0197,0.826312,1.089114682,0.130445238
galP,1395,1409,0,3.36751,0.157551,53.4042,1.66715,0.435359017,0.129282175
pck,1623,1590,0,6.11988,0.2723,35.2154,1.01945,0.768129852,0.125513875
lpdA,1425,41,0,7.86793,0.229061,24.206,6.26046,0.981161695,0.124703918
plaP,1359,1005,0,3.9824,0.0911195,47.469,1.74162,0.477153511,0.119815566
lysU,1518,1918,0,4.50517,0.562114,47.0741,1.26007,0.53745053,0.119296393
pykA,1443,923,0,7.51762,0.663072,26.9363,1.04388,0.892847199,0.118767269
yciK-btuR,1346,603,0,5.57036,0.523263,34.2873,1.63479,0.654275295,0.117456555
katG,2181,1832,0,11.7605,1.89712,26.3849,0.711681,1.377681932,0.117144843
kbl-tdh,2232,1698,0,15.6377,1.49028,24.0766,0.676307,1.545068656,0.098804086
yqjCDEK,1408,1495,0,4.46132,0.46309,53.7538,1.62484,0.436558284,0.097854062
mscM,1248,277,0,5.1003,0.344498,46.6865,3.54872,0.445524938,0.087352693
aspA,1437,1923,0,4.77563,0.268073,57.7245,1.53772,0.414901818,0.086878971
rpsF-priB-rpsR-rplI,1440,1947,0,6.35278,0.0582023,56.2163,1.46429,0.426922441,0.067202459
ygdH,1365,1331,0,7.27408,0.463266,57.2776,1.82997,0.39718843,0.054603253
fadL,1347,1139,0,6.71937,0.33522,64.1777,2.23992,0.349809981,0.052059937
gnd,1407,1011,0,12.8787,5.19213,37.0028,1.36698,0.633735825,0.049208059
yegD,1353,1019,0,10.4166,1.59892,50.7897,1.842,0.443987659,0.042623088
rpsB-tsf,1997,69,0,22.1292,0.695525,50.2701,13.6514,0.662090056,0.029919295
