RNA,ID,Length,total fragments,Avg lifetime,StdDev
dgt,64,1518,5,4.420396,0.169191037
degP,65,1425,4,9.5900125,0.447467805
cdaR,66,1158,3,5.525503333,0.66080598
yaeH,67,387,1,13.5635,0
rpsB-tsf,69,1997,6,7.805108333,0.582191843
pyrH,70,726,2,5.90221,0.18966
frr,71,558,1,5.39272,0
dxr,72,1197,3,4.21483,0.03264826
ispU,73,762,2,4.65852,0.04772
cdsA,74,858,2,2.35785,2.35785
rseP,75,1353,4,5.25943,0.305495885
fabZ,76,456,1,6.39146,0
accA,77,960,3,7.824066667,0.542087691
ldcC,78,2142,6,3.212298333,0.292604238
yaeR,79,390,1,5.00717,0
tilS,80,1299,4,3.6691025,0.828665109
yaeP-rof,81,448,1,8.26992,0
yaeQJ-nlpE,82,1689,5,3.727902,0.341835721
proS,84,1719,5,3.006344,1.510369435
rcsF-yaeB,85,1109,3,4.14684,0.02537997
metNIQ,86,2533,6,4.960341667,2.532359851
gmhB,87,576,1,3.38766,0
yafDE,89,1428,4,3.56704,0.317732644
mltD,90,1359,4,3.5871225,2.077463626
gloB,91,756,2,5.48864,0.08513
dnaQ,92,732,2,2.976385,0.025465
yafV,98,771,2,3.347075,0.015175
ivy,99,474,1,8.53106,0
fadE,100,2445,6,5.922953333,2.695054258
lpcA,101,579,1,10.1562,0
dinJ-yafQ,102,542,1,3.92056,0
yafM,104,498,1,3.92131,0
pepD,108,1458,4,15.0425,0.304871653
gpt,109,459,1,5.50212,0
frsA,110,1245,4,4.2809375,0.041418738
crl,111,402,1,4.96799,0
proBA,113,2369,6,4.447848333,0.300275227
yagU,131,615,2,6.44728,0.06128
ykgJ,132,330,1,3.41913,0
matB,134,588,1,5.36387,0
ykgC,139,1326,4,8.3611925,1.026655477
ykgD,140,855,2,4.54066,0.32744
ykgEFG,141,2846,6,5.075246667,0.82952026
betT,143,2034,6,3.25797,1.482972999
yahK,149,1050,3,11.1569,0.620598249
yahN,152,672,2,4.917535,0.156305
prpR,154,1587,5,3.599322,1.883489538
prpBCDE,155,5911,6,12.95813333,1.272843101
cynR,157,900,3,5.695646667,1.295111943
mhpT,159,1212,4,9.27478,1.252591794
yaiL,160,540,1,4.30029,0
frmRAB,161,2347,6,28.78883333,7.614510989
tauABCD,163,3415,6,4.04553,0.577291229
hemB,164,975,3,6.142836667,0.24196746
yaiU,167,1404,4,4.0058925,0.564693969
ampH,169,1158,3,3.748406667,0.15809711
sbmA-yaiW,170,2328,6,5.83046,0.715784677
yaiY,171,309,1,7.49648,0
ddlA,173,1095,3,4.449326667,0.015738328
proC,177,810,2,4.295075,0.016995
yaiI,178,459,1,3.23605,0
ykiA,180,342,1,4.33065,0
rdgC,181,912,3,3.934786667,0.122447821
mak,182,909,3,4.492893333,0.091893903
araJ,183,1185,3,5.033263333,0.529744053
phoBR,184,2043,6,4.896795,0.808379085
brnQ-proY,185,2769,6,5.711756667,3.328976816
malZ,186,1818,6,4.942305,0.357371006
acpH,187,582,1,3.44559,0
queA,188,1071,3,4.88408,0.353583309
yajD,189,348,1,4.53004,0
tsx,190,885,2,7.07317,0.07564
yajI,191,540,1,3.71053,0
thiI,192,1449,4,4.677115,0.187840357
yajQ,193,492,1,5.4214,0
yajR,194,1365,4,4.9525175,0.331183453
ampG,195,1476,4,3.399235,2.093714013
yajG,196,579,1,4.08406,0
bolA,197,318,1,21.9184,0
tig,198,1299,4,6.087505,0.673617719
lon,199,2355,6,5.533351667,0.58260384
ppiD,201,1872,6,3.783741667,0.193612361
ybaV,202,372,1,9.72056,0
fadM,203,399,1,25.9075,0
queC,204,696,2,5.13197,0.20296
ybaE,205,1701,5,4.143288,0.073545977
cof,206,819,2,5.41986,0.59693
ybaO,207,459,1,3.45723,0
mdlAB,208,3547,6,4.533105,0.770139818
tesB,210,861,2,3.70284,0.02947
ybaY,211,573,1,11.7732,0
ybaZ,212,390,1,4.65502,0
ybaA,214,354,1,36.8023,0
ylaB,215,1551,5,2.951958,0.176546468
ylaC,216,471,1,3.45995,0
maa,217,552,1,4.47067,0
acrR,218,648,2,3.863765,0.318985
kefA,219,3363,6,3.70807,0.618074644
ybaN,220,378,1,3.01855,0
apt,221,552,1,0,0
dnaX,222,1932,6,4.702051667,0.348201768
ybaB-recR,223,935,3,4.872686667,0.958550761
htpG,224,1875,6,5.813875,0.567581554
adk,225,645,2,10.41778,0.66472
gsk,226,1305,4,4.2759375,0.159773619
ybaL,227,1677,5,2.220144,0.400480459
fsr,228,1221,4,4.1080825,0.518982041
ushA,229,1653,5,4.907052,0.418020089
ybaK,230,480,1,4.7316,0
ybaQ,231,342,1,3.35359,0
copA,232,2505,6,5.793626667,1.362815655
ybaST,233,2228,6,2.61679,0.271916085
cueR,234,408,1,3.57615,0
ybbLM,235,1444,4,3.40393,0.532150062
ybbN,236,855,2,6.321175,0.122665
ybbAP,237,3098,6,5.274521667,0.904394962
ylbG,239,372,1,3.71869,0
ybbB,240,1095,3,3.66168,0.065618019
allA,242,483,1,5.07983,0
allR,243,816,2,4.53761,0.14265
purEK,245,1574,5,4.737968,2.760939974
ppiB-lpxH,246,1220,4,5.4722525,2.454977065
cysS,247,1386,4,4.60983,0.278394075
intD,254,1164,3,3.750803333,0.104550528
ybcLM,259,1359,4,4.3960675,0.274757464
pheP,276,1377,4,5.4420325,1.223462873
mscM,277,1248,4,4.7022,0.778381037
nfsB,278,654,2,7.517935,0.062845
ybdF,279,369,1,3.86711,0
ybdK,281,1119,3,3.014986667,0.171693177
entS,284,1251,4,5.956155,0.698875989
fepB,285,957,3,5.691156667,0.173762557
cstA,286,2106,6,3.377401667,0.244970093
ybdH,288,1089,3,2.96417,1.267164188
dsbG,291,747,2,4.4023,0.85556
uspG,292,429,1,13.5526,0
ybdR,293,1239,4,5.1443,0.914017608
rnk,294,411,1,4.95107,0
rna,295,807,2,3.66002,0.40054
pagP,300,561,1,2.58569,0
crcB,302,384,1,3.32289,0
ybeM_1M_2,303,788,2,5.89226,0.18098
lipA,305,966,3,4.255386667,0.09794159
dacA,307,1212,4,5.444235,0.205615942
ybeL,308,483,1,4.81714,0
rihA,314,936,3,3.54992,0.018040726
gltIJKL-sroC,315,3218,6,1615.523883,3588.02019
miaB,317,1425,4,5.9192125,0.508948953
ubiF,318,1176,3,4.05402,0.155624276
asnB,319,1665,5,4.828638,0.21769821
nagC,320,1221,4,4.0063,0.232630552
nagA,321,1149,3,4.742416667,0.534873803
nagE,322,1947,6,6.67596,0.263721007
glnS,323,1665,5,4.200894,0.124744809
ybfF,325,765,2,4.664765,0.036635
seqA-pgm,326,2212,6,4.911721667,0.393500698
gltA,338,1284,4,9.15579,0.254548922
sucABCD,339,6344,6,4.736873333,1.301492691
mngR,340,723,2,6.224005,1.578285
cydAB,342,2724,6,9.395461667,0.686944932
ybgC-tolQRA,343,2856,6,4.532025,0.482655277
tolB-pal-ybgF,344,2650,6,7.28448,1.72168677
lysT-valT-lysW,345,365,1,7.04554,0
ybgS,349,381,1,37.8494,0
aroG,350,1053,3,3.581336667,0.130248585
gpmA,351,753,2,7.115965,0.027965
ybhC,361,1284,4,4.354545,0.252454688
ybhB,362,477,1,5.46356,0
uvrB,365,2022,6,4.919825,0.229031293
ybhK,366,909,3,4.02635,0.529936176
ybhL,367,705,2,4.477165,0.074765
rhlE,369,1365,4,5.5590175,1.094968014
ybiA,370,483,1,5.07,0
dinG,371,2151,6,3.905618333,0.483931292
ybiB,372,963,3,7.01345,0.322404809
ybiC,373,1086,3,4.704406667,0.0854753
ybiX,376,678,2,4.28289,0.28685
dps,379,504,1,7.9216,0
rhtA,380,888,2,6.98851,2.86347
ompX,381,516,1,4.71675,0
mntR-ybiR,385,1583,5,3.216502,0.480364151
ybiS,386,921,3,5.530586667,1.870827674
ybiT,387,1593,5,2.576852,1.330069703
ybiU,388,1266,4,10.817925,0.652092284
ybiV,389,816,2,5.66107,0.0704
fsaA,390,663,2,4.092565,0.196265
moeAB,391,1985,6,3.873018333,0.362659531
iaaA-gsiABCD,392,6234,6,4.220961667,0.320673861
rimO,394,1326,4,3.3955575,2.073242041
bssR,395,384,1,24.6485,0
dacC,396,1203,4,2.79404,0.124303639
deoR,397,759,2,4.77548,0.05623
ybjG,398,597,1,6.12151,0
cmr,399,1233,4,4.530825,0.82531188
ybjJI,401,2024,6,5.63026,0.863459048
ybjK,402,537,1,3.26174,0
ybjL,404,1686,5,5.221418,1.332600776
ybjM,405,378,1,5.02551,0
artJ,409,732,2,5.5257,0.37177
artPIQM,410,2869,6,3.651335,0.465666416
ybjP,411,516,1,4.23594,0
aqpZ,413,696,2,7.90496,0.7136
clpS,415,321,1,9.9441,0
clpA,416,2277,6,21.70978333,0.937321056
aat,419,705,2,4.4646,0.09109
trxB,420,966,3,2.540163333,1.796562871
lrp,421,495,1,6.78205,0
ftsK,422,3990,6,5.660473333,2.919742215
lolA-rarA,423,1969,6,5.390186667,1.458066424
serS,424,1293,4,4.2120425,0.208961476
dmsABC,425,3938,6,7.313393333,0.866036252
ycaC,426,627,2,42.6974,1.8742
ycaD,427,1149,3,5.81388,2.051016291
ycaN,429,909,3,4.18606,0.360445738
pflA,431,741,2,4.259815,0.064065
ycaO,432,1761,5,3.396146,0.673935462
ycaP,433,693,2,2.905075,0.170335
ycaR-kdsB,436,926,3,3.990863333,0.308209762
smtA-mukFEB,437,7250,6,4.111468333,0.299818758
ycbB,438,1848,6,3.098803333,0.340989679
ycbKL,439,1223,4,4.0581025,0.168279942
aspC,440,1191,3,5.189603333,0.592374737
ompF,441,1089,3,9.03698,0.135889265
asnS,442,1401,4,4.4567025,0.33536817
pncB,443,1203,4,5.0148475,1.691426734
pepN,444,2613,6,7.342758333,0.896071321
rlmL-uup,448,4028,6,4.491095,0.32769782
pqiAB,449,2899,6,5.629946667,0.373686639
ymbA,450,549,1,10.0687,0
fabA,452,519,1,5.60513,0
ycbZ,453,1761,5,3.353438,0.356391178
matP,454,453,1,4.77692,0
ompA,455,1041,3,7.894786667,0.133180741
sulA,456,510,1,16.459,0
helD,457,2055,6,3.537165,0.439740584
mgsA,458,459,1,4.85415,0
yccU,460,414,1,10.6744,0
hspQ,461,318,1,11.3394,0
rlmI,462,1191,3,4.562036667,0.732997606
yccA,463,660,2,5.164535,0.018075
hyaABCDEF,465,5468,6,3.310145,0.50535568
gfcA,466,306,1,9.28233,0
ymcE-gnsA,470,394,1,5.53863,0
torS,472,2745,6,4.091786667,0.602711709
cbpAM,474,1226,4,2.9944675,0.339103873
agp,476,1242,4,39.436725,3.270634229
wrbA-yccJ,477,845,2,11.500185,2.316415
rutR,479,639,2,5.31865,0.25837
putA,480,3963,6,3.740036667,0.201124704
putP,481,1509,5,4.246382,0.571202825
efeU_1U_2,482,830,2,4.40685,0.19499
efeOB,483,2405,6,4.994263333,0.220004435
phoH,484,1065,3,38.45326667,2.309968145
ghrA,488,939,3,2.549956667,1.803094542
ycdXY,489,1316,4,2.853593225,1.639739545
ycdZ,490,492,1,0,0
ymdA,491,312,1,6.02966,0
mdoGH,493,4072,6,3.727146667,0.181527681
msyB,495,375,1,9.93498,0
mdtG,496,1227,4,3.8076725,0.404202484
lpxL,497,921,3,4.14981,0.241302387
yceA,498,1053,3,2.323086667,1.699048225
pyrC,501,1047,3,2.966646667,2.177527856
yceB,502,561,1,4.80098,0
grxB,503,648,2,35.5667,1.5631
mdtH,504,1209,4,5.4729325,1.885767868
rimJ,505,585,1,4.25385,0
yceH,506,648,2,4.61652,0.02764
mviM,507,924,3,4.46896,0.23212647
murJ,508,1536,5,5.50982,0.606676463
flgBCDEFGHIJ,509,7295,6,4.339551667,0.554126772
flgK,510,2609,6,3.094155,0.563305287
rne,511,3186,6,3.718176667,0.219079158
yceQ,512,321,1,3.41773,0
rluC,513,960,3,3.826486667,0.541166428
pabC-yceG-tmk-holB-ycfH,514,4275,6,4.559631667,0.239136032
ptsG,515,1434,4,6.124985,0.342096126
fhuE,516,2190,6,4.688156667,0.410237489
hinT-ycfL-lpoB-thiK-nagZ-ycfP,517,3801,6,5.614825,0.441818916
ndh,518,1305,4,2.698435,0.048405179
ycfJ,519,540,1,7.41686,0
ycfQ,520,633,2,3.724045,0.010255
ycfS,521,963,3,7.2793,0.411049357
mfd,522,3447,6,3.677215,0.767514064
lolCDE,524,3138,6,3.908585,0.200090503
nagK-cobB,525,1767,5,5.334092,0.472352658
pepT,526,1227,4,5.8096925,0.073408256
ycfD,527,1122,3,4.154303333,0.28142821
hflD-purB,528,2016,6,4.665936667,0.65634597
mnmA,529,1107,3,5.120733333,0.092486419
icd,530,1251,4,10.173885,0.37885379
ycgE,540,732,2,4.13621,0.10064
ycgF,541,1212,4,2.8939375,0.273677383
ycgJ,549,369,1,7.77582,0
pliG,550,402,1,10.9863,0
ycgL,551,327,1,4.41353,0
ycgM,552,660,2,11.06415,0.65745
ycgN,553,447,1,3.40633,0
dsbB,557,531,1,5.08996,0
nhaB,558,1542,5,3.695212,0.173796597
fadR,559,720,2,3.87145,0.18315
ycgB,560,1533,5,7.177706,0.697295448
dadAX,561,2379,6,3.698356667,1.700466396
cvrA,562,1737,5,4.006638,0.560257765
ldcA,563,915,3,3.89014,0.152708408
emtA,564,612,2,4.471365,0.235555
ycgY,567,441,1,3.58061,0
treA,568,1698,5,5.113764,0.290122619
dhaR,569,1920,6,4.06257,0.609679872
chaA,579,1101,3,4.155166667,0.204944713
ychN,580,354,1,19.4424,0
ychO,581,1254,4,3.054685,0.823811712
narXL,582,2440,6,4.326146667,0.82343186
narGHJI,584,6663,6,5.679545,0.922350979
purU,586,843,2,3.39216,0.04253
ychJ,587,459,1,4.22945,0
galU,588,909,3,9.56551,0.702978908
hns,589,414,1,4.91911,0
tdk,590,618,2,3.877335,0.178885
adhE,592,2676,6,13.36565,0.179604628
ychE,593,648,2,4.04885,0.36907
oppABCDF,594,5587,6,6.434641667,0.325643979
kch,596,1254,4,3.858345,0.254883367
tonB,598,720,2,4.63585,0.28492
yciA,599,399,1,0,0
ompW,600,639,2,15.68235,1.15715
rluB,602,876,2,4.754595,0.359995
yciK-btuR,603,1346,4,4.5218525,0.067160728
sohB,604,1050,3,4.58138,0.22651467
topA,606,2598,6,4.572266667,0.206201443
cysB,607,975,3,4.112816667,0.509253359
acnA,609,2676,6,11.20153333,0.254640359
ribA,610,591,1,4.53025,0
pgpB,611,765,2,3.46896,0.29732
gmr,613,1986,6,4.289088333,0.143599056
rnb,614,1935,6,4.20178,0.388447793
yciW,615,1128,3,5.60413,0.273492646
fabI,616,789,2,14.6445,0.2107
ycjD,617,354,1,5.15544,0
puuP,619,1386,4,3.88561,0.756810913
puuA,620,1419,4,4.48022,1.156678561
puuDR,621,1349,4,4.521845,0.219577279
pspF,623,978,3,4.322343333,0.503621344
ycjW,626,999,3,3.850733333,0.183600478
tpx,627,507,1,9.06949,0
ycjY,628,933,3,5.63165,0.539317807
ycjZ,629,900,3,3.805003333,0.157098054
mppA,630,1614,5,4.293632,0.196281853
uspE,634,951,3,10.34598,0.270071103
fnr,635,753,2,3.12302,0.16887
abgR,636,909,3,4.767796667,0.210533011
ydaL,638,564,1,11.4681,0
ydaM,639,1233,4,3.033955,0.196499243
ydaN,640,984,3,3.267213333,0.298124436
dbpA-C0343,642,1522,5,4.847504,1.008801625
ttcA,643,936,3,3.958233333,0.094719492
uspF,653,435,1,12.2017,0
ydbK,656,3525,6,3.869061667,0.160843077
ldhA,657,990,3,9.620803333,0.44836911
feaR,659,906,3,2.432896667,0.109395158
feaB,660,1500,5,6.677028,0.364053794
azoR,670,606,2,7.67108,0.65649
hrpA,671,3846,6,3.419486667,0.498806081
ydcF,672,801,2,6.31644,0.08042
aldA,673,1440,4,33.323225,2.267404664
gapC_1C_2,674,1001,3,20.53106667,4.313846074
cybB,675,531,1,3.77453,0
trg,678,1641,5,3.921714,1.501302124
ydcI,679,924,3,1.815146667,1.327600119
ydcJ,680,1344,4,4.5889825,0.183555071
mdoD,681,1656,5,2.955856,1.479397258
tehAB,683,1583,5,4.886922,0.476204391
ydcL,684,669,2,10.4381,0.3835
ydcM,687,1209,4,12.14163,14.25109038
ydcN,689,537,1,4.38103,0
ydcP,690,1962,6,4.65132,0.214355091
hicAB,692,639,2,3.36569,0.27476
ydcR,693,1407,4,4.5523525,0.379974988
ydcSTUV,694,3903,6,5.198388333,0.7863418
ydcW,695,1425,4,105.6249,10.78437255
curA,699,1038,3,9.874673333,0.410398129
mcbR,700,666,2,3.791775,0.472945
yncD,701,2103,6,3.908376667,1.753741597
yncE,702,1062,3,9.027606667,0.65581282
ansP,703,1500,5,5.70666,1.014359443
yncG,704,618,2,1.866645,0.314845
nhoA,710,846,2,3.5126,0.10993
yddE,711,894,2,4.00479,0.70251
narU,712,1389,4,4.8830175,0.50182291
yddM,716,363,1,4.6803,0
adhP,717,1011,3,47.51713333,2.48906459
maeA,718,1698,5,3.641632,0.14023952
osmC,719,432,1,24.6746,0
ddpXABCDF,720,5965,6,7.778263333,4.641836452
yddW,721,1320,4,4.255695,0.233844144
ydeN,724,1683,5,19.12722,1.194936166
hipBA,728,1589,5,2.703382,0.448492455
yneE,731,915,3,3.990046667,1.243148319
sad,735,1389,4,5.41466,0.132044473
yneJ,736,882,2,3.9048,0.73022
marC,739,666,2,4.5106,0.00149
marRAB,740,1088,3,3.61389,0.113171639
eamA,741,900,3,4.678186667,0.957158586
ydeE,742,1188,3,4.175793333,0.538956547
ydeH,745,891,2,5.13624,0.21507
ydeI,746,393,1,14.4533,0
ydeJ,747,519,1,2.81663,0
dcp,748,2046,6,6.479968333,0.49012938
ydfG,749,747,2,7.95802,0.24948
ydfH,750,687,2,3.813965,0.048615
ynfA,774,327,1,4.33431,0
ynfB-speG,775,937,3,3.002656667,0.090695441
ynfC,776,711,2,2.955705,0.049125
ynfD,777,306,1,4.35625,0
dgsA,779,1221,4,4.02618,0.235358428
ynfL,780,894,2,2.90705,0.48512
ynfM,781,1254,4,2.566285,1.389624922
asr,782,309,1,19.794,0
ydgD,783,822,2,2.42104,0.06825
tqsA,785,1035,3,3.273606667,0.182741113
ydgH,786,945,3,4.41164,0.263730754
rstAB,787,2034,6,3.36165,0.138695925
fumA,788,1647,5,5.04879,0.638436172
manA,789,1176,3,4.793086667,1.211778318
ydgA,790,1509,5,3.209462,0.322259493
uidR,791,591,1,4.04956,0
hdhA,792,768,2,10.53995,0.11605
malI,793,1029,3,5.21722,1.029876119
malXY,794,2775,6,4.84852,0.569572245
add,795,1002,3,5.254723333,0.185371236
ydgJ,796,1041,3,6.31251,0.498037739
tppB,799,1503,5,6.487522,2.989075166
gst,800,606,2,5.3632,0.01953
mliC,801,330,1,4.90058,0
anmK,802,1110,3,4.74883,0.081341093
slyB,803,468,1,4.73503,0
slyA,804,435,1,5.2723,0
ydhIJK,805,3109,6,4.956031667,0.713136584
sodC,806,522,1,43.0302,0
ydhF,807,897,2,3.924675,0.109635
nemA,809,1098,3,11.98936667,0.323370585
gloA,810,408,1,6.42932,0
grxD,811,348,1,12.7393,0
ydhO,812,816,2,4.074235,0.752215
sodB,813,582,1,18.0058,0
ydhP,814,1170,3,4.70203,1.165574325
ydhC,815,1212,4,4.55073,0.538647811
cfa,816,1149,3,5.724723333,0.327587202
ribC,817,642,2,4.50668,0.13326
mdtK,818,1374,4,4.3886425,0.991906588
ydhQ,819,1257,4,4.018525,0.196400316
ydhR,821,306,1,23.5342,0
ydhS,822,1605,5,2.656298,0.189878932
pykF,824,1413,4,10.4072125,0.440954153
ynhG,826,1005,3,3.86713,0.033084821
ydiK,828,1113,3,4.062326667,0.382220689
pps,836,2379,6,6.331088333,0.370050137
ppsR,837,834,2,4.33864,0.00882
aroH,838,1047,3,3.03313,2.178980331
ydiU,840,1437,4,3.7542525,0.22529335
nlpC,842,465,1,4.11549,0
btuCED,843,2344,6,4.658365,0.381264433
pfkB,847,930,3,9.064283333,0.641998171
yniA,849,861,2,9.848405,0.148375
yniB,850,537,1,3.99912,0
yniC,851,669,2,4.58628,0.05807
ydjM,852,591,1,4.81574,0
ydjN,853,1392,4,4.398995,0.407981524
katE,856,2262,6,17.18291667,1.787067185
osmE,857,339,1,7.94548,0
nadE,858,828,2,9.30557,0.30754
spy,859,486,1,34.7183,0
xthA,860,807,2,5.210475,0.178445
ynjE,862,1308,4,5.1791125,0.88337499
ynjF,863,621,2,4.287795,0.033815
gdhA,864,1344,4,3.8449525,0.123558529
sppA,866,1857,6,3.896855,0.353233315
ansA-pncA,867,1669,5,4.811122,0.175414091
ydjF,869,759,2,4.205585,0.669655
msrB,872,414,1,3.71898,0
yeaE,873,855,2,5.941825,0.199935
mipA,874,747,2,14.77185,0.22065
yeaGH,875,3331,6,4.050701667,1.363407696
yeaJ,877,1491,4,5.937005,0.784019617
yeaK,878,504,1,5.17045,0
yeaN,880,1182,3,5.974426667,2.274056291
yeaO,881,348,1,4.87452,0
yeaP,883,1026,3,3.753066667,0.126244207
leuE,886,639,2,4.51085,0.1505
dmlR,887,924,3,4.113626667,0.127518754
dmlA,888,1086,3,11.76456667,1.106852692
rnd,891,1128,3,2.398656667,1.697873734
fadD-sroD,892,1730,5,2.496064,1.25798786
yoaA,893,1911,6,4.479496667,0.61572202
yoaB,894,345,1,6.57908,0
yoaC,895,360,1,4.5365,0
pabB-nudL,897,1944,6,4.1523,0.559164421
sdaA,898,1365,4,6.5871675,0.508191648
yoaD,899,1599,5,3.731332,0.23251324
yoaE,900,1557,5,5.397504,0.238144987
manXYZ,901,2699,6,60.3384,12.07255939
yobD,902,459,1,6.56781,0
kdgR,906,792,2,3.683795,0.134405
htpX,908,882,2,6.379715,0.199085
yebR,909,552,1,3.70397,0
yebST,910,3886,6,3.407638333,0.267217083
rsmF,911,1440,4,5.057465,0.857392628
pphA,914,657,2,3.59292,0.25908
yobA-yebZY,915,1605,5,3.568474,0.691748006
yebE,917,660,2,12.68075,0.71495
yebF,918,357,1,4.98819,0
purT,920,1179,3,8.585286667,1.926111589
zwf,921,1476,4,6.99644,0.276820379
yebK,922,870,2,4.22437,0.10491
pykA,923,1443,4,5.1904825,1.183368638
lpxM,924,972,3,3.793683333,0.292465912
yebA,925,1323,4,5.468145,1.697907119
znuA,926,933,3,4.509586667,0.924645452
znuCB,927,1538,5,3.778684,0.590582916
aspS,929,1773,5,6.068708,0.245430285
yecDE,930,1382,4,5.0508025,0.438461435
yecN-cmoAB,931,2148,6,5.471283333,1.023843255
cutC,933,441,1,4.63905,0
yecM,934,567,1,5.03914,0
argS,935,1734,5,5.137292,0.27381583
uspC,941,429,1,3.04004,0
ftnB,942,504,1,3.69003,0
yecR,944,324,1,1.96341,0
ftnA,945,498,1,3.97696,0
yecA,948,666,2,6.193015,0.009065
pgsA,949,549,1,3.60133,0
yedX,973,414,1,43.266,0
yedYZ,974,1641,5,3.88961,0.333737063
yodB,976,531,1,5.12659,0
mtfA,978,798,2,3.98347,0.18509
shiA,982,1317,4,4.5613525,0.437251738
amn,983,1455,4,7.83724,0.384143045
yeeN,984,717,2,4.206725,0.466495
yeeO,986,1644,5,4.15105,1.810529855
cbl,988,951,3,5.111273333,0.487379184
erfK,991,933,3,2.5022,0.276033594
yoeF,998,357,1,7.50526,0
yeeX,999,330,1,9.20385,0
yeeA,1000,1059,3,6.087856667,0.115590761
sbmC,1001,474,1,6.55079,0
sbcB,1003,1428,4,3.596365,0.210279545
yeeED,1004,1300,4,4.8905875,0.13900744
plaP,1005,1359,4,7.2875125,2.599285623
yeeY,1006,930,3,4.458153333,0.224339384
yeeZ,1007,825,2,4.150595,0.055815
cld,1009,981,3,4.713606667,0.630913118
ugd,1010,1167,3,3.429056667,0.470735755
gnd,1011,1407,4,23.588075,2.134583974
galF,1014,894,2,5.196795,0.703785
yegH,1015,1584,5,3.237562,0.555147588
asmA,1016,1854,6,4.414571667,0.185990858
yegE,1017,3318,6,3.657973333,0.343931315
alkA,1018,849,2,4.21784,0.11354
yegD,1019,1353,4,5.08886,1.028356754
yegP,1025,333,1,26.8001,0
yegQ,1026,1362,4,3.540165,2.048075
yegS,1030,900,3,3.198746667,0.426698707
fbaB,1032,1053,3,14.87736667,0.808638676
mrp,1036,1110,3,4.395333333,0.131238393
metG,1037,2034,6,4.949806667,0.448763987
yehS,1042,471,1,4.03784,0
yehUT,1043,2402,6,4.006365,0.121735014
mlrA,1044,732,2,2.487185,0.338315
bglX,1045,2298,6,4.488853333,0.301954373
dld,1046,1716,5,4.833736,0.336421776
pbpG,1047,933,3,4.289696667,0.220007124
yohC,1048,588,1,6.80671,0
yohD,1049,579,1,3.24296,0
yohF,1050,762,2,4.83226,0.12527
dusC,1053,948,3,6.036523333,0.44792166
yohJK,1054,1091,3,3.293006667,0.389205097
cdd,1055,885,2,5.26197,0.03972
sanA-yeiS,1056,962,3,6.78701,4.168930789
yeiTA,1057,2468,6,3.936348333,0.495510984
galS,1058,1041,3,2.699743333,0.44590262
yeiG,1059,837,2,7.82158,0.14855
lysP,1061,1470,4,4.13044,0.471888654
yeiE,1062,882,2,3.38725,0.05774
yeiH,1063,1050,3,4.89745,0.300883991
nfo,1064,858,2,6.026155,0.128415
yeiI,1065,1089,3,4.562203333,1.145063007
yeiL,1068,660,2,3.881885,0.843865
fruBKA,1070,3777,6,6.668121667,0.614502863
yeiP,1071,573,1,4.78871,0
yeiQ,1072,1467,4,4.1376625,2.433687606
yeiR-lpxT,1073,1739,5,3.990974,1.67061881
spr,1074,567,1,3.70521,0
